id,level,title,skill,n_exercises,n_items,identify_items,identify_ratio,has_reading_comprehension,has_matching,has_true_false,has_typing_selfcheck,has_character,n_rules,narrative_paras,score,classification,path
iii-tempus-futurum-activum-et-medium,III,Tempus Futūrum: Āctīvum et Medium,grammatica,5,22,1,0.05,True,False,True,False,True,3,2,5,A,curriculum/iii/tempus-futurum-activum-et-medium.json
iii-pronomen-relativum,III,Prōnōmen Relātīvum,grammatica,5,22,1,0.05,True,False,True,False,True,3,2,5,A,curriculum/iii/pronomen-relativum.json
iii-pronomina-demonstrativa,III,Prōnōmina Dēmōnstrātīva,grammatica,5,22,1,0.05,True,False,True,False,True,3,2,5,A,curriculum/iii/pronomina-demonstrativa.json
iii-comparatio-adiectivorum,III,Comparātiō Adiectīvōrum,grammatica,5,22,2,0.09,True,False,True,False,True,3,2,5,A,curriculum/iii/comparatio-adiectivorum.json
iv-aoristus-activus-et-medius-primus,IV,Aoristus Prīmus: Āctīvus et Medius,grammatica,3,14,0,0.0,False,False,True,False,False,3,1,1,B,curriculum/iv/aoristus-activus-et-medius-primus.json
iv-aoristus-secundus,IV,Aoristus Secundus,grammatica,3,14,0,0.0,False,False,True,False,False,3,1,1,B,curriculum/iv/aoristus-secundus.json
iv-aoristus-passivus,IV,Aoristus Passīvus,grammatica,3,14,0,0.0,False,False,True,False,False,3,1,1,B,curriculum/iv/aoristus-passivus.json
iv-systema-perfecti-activi,IV,Systēma Perfectī Āctīvī,grammatica,3,14,0,0.0,False,False,True,False,False,3,1,1,B,curriculum/iv/systema-perfecti-activi.json
iv-systema-perfecti-medii-passivi,IV,Systēma Perfectī Mediī-Passīvī,grammatica,3,14,0,0.0,False,False,True,False,False,3,1,1,B,curriculum/iv/systema-perfecti-medii-passivi.json
iv-participium-praesentis,IV,Participium Praesentis,grammatica,3,14,3,0.21,False,False,True,False,False,3,1,1,B,curriculum/iv/participium-praesentis.json
iv-participium-aoristi,IV,Participium Aoristī,grammatica,3,14,2,0.14,False,False,True,False,False,3,1,1,B,curriculum/iv/participium-aoristi.json
iv-infinitivi-omnium-temporum,IV,Īnfīnītīvī Omnium Temporum,grammatica,3,14,0,0.0,False,False,True,False,False,3,1,1,B,curriculum/iv/infinitivi-omnium-temporum.json
iv-verba-deponentia,IV,Verba Dēpōnentia,vocabularium,3,14,0,0.0,False,False,True,False,False,3,1,1,B,curriculum/iv/verba-deponentia.json
iv-genetivus-absolutus,IV,Genetīvus Absolūtus,grammatica,3,10,0,0.0,False,True,True,False,False,3,1,2,B,curriculum/iv/genetivus-absolutus.json
iv-recognitio-systema-verbi,IV,Recognitiō: Systēma Verbī Latīnī Graecī,grammatica,3,14,0,0.0,False,False,True,False,False,3,1,1,B,curriculum/iv/recognitio-systema-verbi.json
v-coniunctivus-praesens-et-aoristi,V,Coniūnctīvus Praesentis et Aoristī,grammatica,3,14,0,0.0,False,False,True,False,False,3,1,1,B,curriculum/v/coniunctivus-praesens-et-aoristi.json
v-usus-coniunctivi-hortativus-et-prohibitivus,V,"Ūsus Coniūnctīvī: Hortātīvus, Prohibitīvus, Dēlīberātīvus",grammatica,3,14,1,0.07,False,False,True,False,False,3,1,1,B,curriculum/v/usus-coniunctivi-hortativus-et-prohibitivus.json
v-optativus-formae,V,Optātīvus: Fōrmae,grammatica,3,14,0,0.0,False,False,True,False,False,3,1,1,B,curriculum/v/optativus-formae.json
v-optativus-usus-obliquus-et-voluntativus,V,Optātīvus: Ūsus Oblīquus et Voluntātīvus,grammatica,3,14,0,0.0,False,False,True,False,False,3,1,1,B,curriculum/v/optativus-usus-obliquus-et-voluntativus.json
v-clausulae-finales,V,Clausulae Fīnālēs,grammatica,3,14,0,0.0,False,False,True,False,False,3,1,1,B,curriculum/v/clausulae-finales.json
v-clausulae-consecutivae,V,Clausulae Cōnsecūtīvae,grammatica,3,14,0,0.0,False,False,True,False,False,3,1,1,B,curriculum/v/clausulae-consecutivae.json
v-condiciones-quattuor-genera,V,Condiciōnēs: Quattuor Genera,grammatica,3,14,2,0.14,False,False,True,False,False,3,1,1,B,curriculum/v/condiciones-quattuor-genera.json
v-interrogationes-obliquae,V,Interrogātiōnēs Oblīquae,grammatica,3,14,0,0.0,False,False,True,False,False,3,1,1,B,curriculum/v/interrogationes-obliquae.json
v-imperativus-plenus,V,Imperātīvus Plēnus,grammatica,3,14,0,0.0,False,False,True,False,False,3,1,1,B,curriculum/v/imperativus-plenus.json
vi-oratio-obliqua-systema-plenum,VI,Ōrātiō Oblīqua: Systēma Plēnum,grammatica,3,14,2,0.14,False,False,True,False,False,3,1,1,B,curriculum/vi/oratio-obliqua-systema-plenum.json
vi-adiectiva-verbalia-in-teos-et-teon,VI,Adiectīva Verbālia in -τέος et -τός,grammatica,3,14,1,0.07,False,False,True,False,False,3,1,1,B,curriculum/vi/adiectiva-verbalia-in-teos-et-teon.json
vi-usus-casuum-provectiores,VI,Ūsus Cāsuum Prōvectiōrēs,grammatica,3,14,1,0.07,False,False,True,False,True,3,1,2,B,curriculum/vi/usus-casuum-provectiores.json
vi-particulae-graecae,VI,Particulae Graecae,grammatica,3,14,0,0.0,False,False,True,False,False,3,1,1,B,curriculum/vi/particulae-graecae.json
vi-ordo-verborum-et-stilus-atticus,VI,Ōrdō Verbōrum et Stilus Atticus,grammatica,3,10,0,0.0,False,True,True,False,False,3,1,2,B,curriculum/vi/ordo-verborum-et-stilus-atticus.json
vi-lectio-adaptata-xenophon,VI,Lēctiō Adaptāta: Xenophōn,lectio,2,8,2,0.25,False,False,True,False,False,1,1,1,B,curriculum/vi/lectio-adaptata-xenophon.json
vi-lectio-adaptata-platon,VI,Lēctiō Adaptāta: Platōn,lectio,2,8,0,0.0,False,False,True,False,True,1,1,2,B,curriculum/vi/lectio-adaptata-platon.json
vi-recognitio-syntaxis-integra,VI,Recognitiō: Syntaxis Integra,grammatica,3,10,1,0.1,False,True,True,False,False,3,1,2,B,curriculum/vi/recognitio-syntaxis-integra.json
vii-xenophon-anabasis,VII,Xenophōn: Anabasis,lectio,2,8,0,0.0,False,False,True,False,False,1,1,1,B,curriculum/vii/xenophon-anabasis.json
vii-platon-apologia,VII,Platōn: Apologia,lectio,2,8,0,0.0,False,False,True,False,False,2,1,1,B,curriculum/vii/platon-apologia.json
vii-lysias-orationes-selectae,VII,Lysias: Ōrātiōnēs Sēlectae,lectio,2,8,0,0.0,False,False,True,False,False,1,1,1,B,curriculum/vii/lysias-orationes-selectae.json
vii-homerus-ilias-excerpta,VII,Homērus: Ilias,lectio,2,8,0,0.0,False,False,True,False,False,1,1,1,B,curriculum/vii/homerus-ilias-excerpta.json
vii-dialectus-homerica-conspectus,VII,Dialectus Homerica: Conspectus,grammatica,2,8,2,0.25,False,False,True,False,False,3,1,1,B,curriculum/vii/dialectus-homerica-conspectus.json
vii-koine-novum-testamentum-excerpta,VII,Koinē: Novum Testāmentum,lectio,2,8,0,0.0,False,False,True,False,False,2,1,1,B,curriculum/vii/koine-novum-testamentum-excerpta.json
vii-dialectus-koine-conspectus,VII,Dialectus Koinē: Conspectus,grammatica,2,8,1,0.12,False,False,True,False,False,3,1,1,B,curriculum/vii/dialectus-koine-conspectus.json
vii-prosodia-et-metrum-epicum,VII,Prosōdia et Metrum Epicum,grammatica,2,8,0,0.0,False,False,True,False,False,3,1,1,B,curriculum/vii/prosodia-et-metrum-epicum.json
vii-rhetorica-attica,VII,Rhētorica Attica,grammatica,2,8,0,0.0,False,False,True,False,False,3,1,1,B,curriculum/vii/rhetorica-attica.json
vii-recognitio-finalis,VII,Recognitiō Fīnālis: Lectiō Lībera,grammatica,2,8,0,0.0,False,False,True,False,False,2,1,1,B,curriculum/vii/recognitio-finalis.json
